공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
공주세무서 청사신축공사,철근콘크리트조 지하 1층~지상 3층.,"2,989.12㎡","7,821.58㎡","1,060.57㎡","1,461.73㎡",13.56%,31.63%,4m,17.8m,59대,충청남도 공주시,2018.08,착공일로부터 360 일,공공업무시설(공공청사),"2,989.12 ㎡","7,442,867,266 원","2,489,986 원/㎡",
교육정보시스템 통합재해복구센터 신축공사,철근콘크리트조 지하 1층~지상 3층.,"4,126.55㎡","5,000㎡","1,639.59㎡","1,375.72㎡",32.79%,74.15%,5.4m,17.25m,45대,세종특별자치시,2018.08,착공일로부터 240 일,공공업무시설,"4,126.55 ㎡","14,835,628,663 원","3,595,165 원/㎡",
관세평가분류원 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"4,890.35㎡","6,783㎡","1,174.16㎡","1,431.41㎡",17.31%,53.37%,4.5m,21.6m,80대,세종특별자치시,2018.08,착공일로부터 540 일,공공업무시설,"4,890.35 ㎡","10,845,091,659 원","2,217,651 원/㎡",
울산북부경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"10,687.87㎡","16,110㎡","2,620.44㎡","4,058.96㎡",16.27%,53.26%,3.9m,22.8m,178대,울산광역시 북구,2018.08,착공일로부터 630 일,공공업무시설(경찰서),"10,687.87 ㎡","21,460,515,429 원","2,007,932 원/㎡",
서울동부지사 상설검정장 겸 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"2,966.18㎡","2,645.1㎡",837.51㎡,515.15㎡,31.66%,104.9%,3.6m,18.1m,50대,서울특별시 은평구,2018.06,착공일로부터 365 일,업무시설 (사무소),"2,966.18 ㎡","5,763,324,704 원","1,943,012 원/㎡",
군포시 보훈회관 건립공사,철근콘크리트조 지하 1층~지상 3층.,"4,884㎡","2,909.5㎡","1,646.51㎡",822.96㎡,56.59%,115.63%,4.2m,16.8m,48대,경기도 군포시,2018.06,착공일로부터 540 일,일반업무시설,"4,884 ㎡","10,766,112,133 원","2,204,364 원/㎡",
서울남부지방법원 별관 신축공사,철근콘크리트조 지하 1층~지상 5층.,"8,051.41㎡","15,850.8㎡","1,594.89㎡",0㎡,10.06%,38.23%,4.5m,27.45m,50대,서울특별시 양천구,2018.04,착공일로부터 570 일,공공업무시설(공공청사),"8,051.41 ㎡","16,239,792,412 원","2,017,012 원/㎡",
국민건강보험공단 원주횡성지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"3,977.9㎡","3,065.7㎡",923.81㎡,569.16㎡,30.13%,90.68%,4m,19.3m,66대,강원도 원주시,2018.04,착공일로부터 365 일,업무시설,"3,977.9 ㎡","8,879,061,021 원","2,232,098 원/㎡",
전방사무소 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"1,652.2㎡","4,803㎡",461.92㎡,0㎡,9.62%,28.38%,0m,17.93m,22대,경기도 파주시,2018.03,착공일로부터 365 일,업무시설(공공업무시설-청사),"1,652.2 ㎡","3,190,237,392 원","1,930,903 원/㎡",
중구 신당동 공공복합청사 신축공사,철근콘크리트조 지하 5층~지상 7층.,"6,680.7㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,서울특별시 중구,2018.03,착공일로부터 810 일,공공청사,"6,680.7 ㎡","17,647,193,536 원","2,641,519 원/㎡",
