영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
1, 2019, 03, 15,경기도 용인시,1,13,164.0,23,0,N,N,N,N,N,N
1, 2019, 02, 13,대전광역시 유성구,1,13,201.03,19,0,N,N,N,N,N,N
1, 2013, 02, 05,대구광역시 달서구,1,13,263.59,26,0,N,N,N,N,N,N
1, 2011, 11, 16,대구광역시 동구,1,13,122.04,5,0,N,Y,Y,N,N,Y
1, 2012, 11, 14,대구광역시 북구,1,13,157.0,25,0,N,N,N,N,N,N
1, 2009, 08, 19,충청남도 천안시,1,13,239.58,29,0,Y,Y,Y,N,N,Y
1, 2001, 10, 09,충청남도 논산시,1,13,58.45,3,0,Y,Y,Y,N,Y,Y
1, 1993, 09, 14,충청남도 천안시,1,13,158.4,7,0,N,N,N,N,N,N
1, 1998, 05, 26,충청남도 논산시,1,13,150.0,10,0,N,N,N,N,N,N
1, 2018, 06, 15,충청남도 천안시,1,13,338.95,14,0,N,N,N,N,N,N
1, 2016, 12, 26,충청남도 천안시,1,13,194.8,20,0,Y,Y,N,N,N,Y
1, 2016, 12, 29,충청남도 천안시,1,13,122.88,14,0,Y,Y,N,N,N,Y
1, 2015, 06, 17,충청남도 천안시,1,13,231.9,23,0,N,N,N,N,N,N
1, 1998, 09, 09,충청남도 논산시,1,13,80.76,5,0,N,N,N,N,N,N
1, 2015, 03, 26,충청남도 천안시,1,13,284.95,12,0,N,N,N,N,N,N
1, 2017, 02, 28,충청남도 천안시,1,13,309.52,16,0,Y,Y,N,N,N,Y
1, 2010, 11, 13,충청남도 당진시,1,13,96.91,5,0,Y,Y,Y,N,N,Y
1, 2003, 11, 10,충청남도 당진시,1,13,88.64,4,0,N,N,N,N,N,N
1, 2009, 05, 18,충청남도 당진시,1,13,126.0,4,0,N,N,N,N,N,N
1, 2011, 04, 28,경기도 하남시,1,13,273.29,10,0,N,N,N,N,N,N
1, 2006, 01, 24,경기도 안양시,1,13,246.05,6,0,Y,N,Y,N,Y,Y
1, 2009, 08, 24,경기도 안양시,1,13,337.55,12,0,N,N,N,N,N,N
1, 2016, 06, 30,경기도 의정부시,1,13,159.0,7,0,N,N,N,N,N,Y
1, 2003, 12, 26,경기도 의정부시,1,13,170.4,1,0,Y,Y,Y,N,Y,Y
1, 1993, 12, 14,경기도 의정부시,1,13,111.0,7,0,N,N,N,N,N,N
1, 2017, 05, 10,경기도 의정부시,1,13,193.87,10,0,Y,N,N,N,N,N
1, 2017, 05, 29,경기도 의정부시,1,13,131.5,18,0,N,N,N,N,N,N
1, 2016, 06, 29,경기도 의정부시,1,13,148.5,21,0,N,N,N,N,N,Y
1, 2017, 12, 05,경기도 의정부시,1,13,102.79,14,0,N,N,N,N,N,N
1, 2018, 05, 21,경기도 의정부시,1,13,142.42,8,0,N,N,N,N,N,N
1, 2001, 03, 31,경기도 여주시,1,13,115.0,7,0,N,N,N,N,Y,N
1, 2002, 07, 02,경기도 의정부시,1,13,64.0,1,0,Y,Y,Y,N,Y,Y
1, 2005, 01, 11,경기도 의정부시,1,13,125.4,7,0,Y,Y,Y,N,Y,Y
1, 2003, 01, 13,경기도 용인시,1,13,110.94,6,0,Y,Y,Y,N,Y,Y
1, 1997, 03, 27,경기도 여주시,1,13,148.0,5,0,N,N,N,N,Y,N
1, 2004, 10, 12,경기도 용인시,1,13,120.0,4,0,N,N,N,N,N,N
1, 2004, 10, 20,경기도 여주시,1,13,202.27,6,0,Y,Y,Y,N,Y,Y
1, 2019, 04, 25,인천광역시 미추홀구,1,13,118.29,5,0,N,N,N,N,N,N
1, 1995, 04, 03,경상북도 성주군,1,13,149.61,6,0,N,N,N,N,N,N
1, 2014, 07, 14,경상북도 문경시,1,13,223.73,7,0,Y,Y,Y,N,N,Y
1, 2002, 09, 19,경상북도 구미시,1,13,138.0,8,0,N,N,N,N,N,N
1, 2014, 04, 01,경상북도 구미시,1,13,345.66,999,0,N,N,N,N,N,N
1, 2002, 07, 19,경상북도 경산시,1,13,236.16,11,0,N,N,N,N,N,N
1, 2009, 05, 15,경상북도 의성군,1,13,101.49,5,0,N,N,N,N,N,N
1, 2006, 07, 06,인천광역시 미추홀구,1,13,80.72,10,0,N,N,N,N,N,N
1, 2000, 02, 03,인천광역시 미추홀구,1,13,219.6,14,0,N,N,N,N,N,N
1, 2000, 08, 01,인천광역시 미추홀구,1,13,156.79,7,0,Y,Y,N,N,N,N
1, 2001, 04, 11,인천광역시 미추홀구,1,13,99.24,8,0,N,N,N,N,N,N
1, 2002, 07, 22,인천광역시 미추홀구,1,13,98.56,5,0,N,N,N,N,N,N
1, 2002, 03, 29,인천광역시 미추홀구,1,13,117.4,5,0,N,N,N,N,N,N
1, 2004, 09, 13,인천광역시 미추홀구,1,13,169.69,8,0,Y,Y,Y,N,Y,Y
1, 2006, 01, 09,인천광역시 미추홀구,1,13,132.7,5,0,N,N,N,N,N,N
1, 2016, 11, 07,인천광역시 미추홀구,1,13,151.78,15,0,N,N,N,N,N,N
1, 2016, 11, 30,인천광역시 미추홀구,1,13,163.83,23,0,N,N,N,N,N,N
1, 2002, 10, 07,인천광역시 미추홀구,1,13,58.74,10,0,N,N,N,N,N,N
1, 2003, 02, 03,인천광역시 미추홀구,1,13,135.46,6,0,N,N,N,N,N,N
1, 2003, 01, 09,인천광역시 미추홀구,1,13,181.81,6,0,N,N,N,N,N,N
1, 2009, 12, 04,충청남도 천안시,1,13,139.95,6,0,N,N,N,N,N,N
1, 2004, 01, 20,충청남도 천안시,1,13,131.49,18,0,Y,Y,Y,N,Y,N
1, 1998, 04, 29,전라북도 군산시,1,13,143.8,8,0,N,N,N,N,N,N
1, 2006, 04, 05,전라북도 전주시,1,13,170.35,6,0,N,N,N,N,N,N
1, 2002, 02, 16,전라북도 남원시,1,13,129.15,10,0,N,N,Y,N,Y,Y
1, 1994, 12, 21,전라북도 남원시,1,13,80.29,3,0,N,N,Y,N,Y,Y
1, 1995, 10, 28,전라북도 남원시,1,13,93.5,1,0,N,N,Y,N,Y,Y
1, 1999, 06, 03,전라북도 남원시,1,13,130.75,10,0,N,N,Y,N,Y,Y
1, 2016, 03, 08,전라북도 김제시,1,13,227.0,8,0,Y,Y,Y,N,Y,Y
1, 1999, 04, 30,전라북도 남원시,1,13,267.0,10,0,N,N,Y,N,Y,Y
1, 1999, 07, 20,전라북도 남원시,1,13,264.0,10,0,N,N,Y,N,Y,Y
1, 1999, 10, 14,전라북도 남원시,1,13,163.17,5,0,N,N,Y,N,Y,Y
1, 2003, 01, 09,전라북도 남원시,1,13,112.9,10,0,N,N,Y,N,Y,Y
1, 2010, 05, 17,경기도 이천시,1,13,147.82,5,0,N,N,N,N,N,N
1, 2011, 05, 02,경기도 이천시,1,13,125.33,4,0,N,N,N,N,N,N
1, 2002, 04, 29,경기도 연천군,1,13,74.22,4,0,N,N,N,N,N,N
1, 2018, 05, 02,경기도 의왕시,1,13,107.16,16,0,Y,Y,Y,N,Y,Y
1, 2014, 11, 24,경기도 평택시,1,13,163.5,7,0,Y,Y,Y,N,Y,Y
1, 2017, 11, 07,경기도 파주시,1,13,198.39,8,0,N,N,Y,N,N,N
1, 2011, 01, 14,경기도 포천시,1,13,97.0,5,0,N,Y,Y,N,N,Y
1, 2006, 01, 02,경기도 의정부시,1,13,82.5,4,0,Y,Y,Y,N,Y,Y
1, 2003, 09, 23,경기도 안양시,1,13,59.65,2,0,Y,Y,Y,N,Y,Y
1, 2019, 06, 18,광주광역시 북구,1,13,121.78,13,0,N,N,N,N,N,N
1, 2019, 04, 04,경기도 의정부시,1,13,150.0,9,0,N,N,N,N,N,N
1, 2019, 09, 05,강원도 강릉시,1,13,160.16,16,0,N,N,N,N,N,N
1, 2019, 08, 12,부산광역시 서구,1,13,201.02,20,0,N,N,N,N,N,N
1, 2019, 09, 11,서울특별시 송파구,1,13,112.2,15,0,Y,Y,Y,N,N,Y
1, 2019, 08, 26,경기도 의정부시,1,13,131.04,19,0,N,N,Y,N,N,N
1, 2019, 08, 02,광주광역시 동구,1,13,231.0,25,0,N,N,N,N,N,N
1, 1994, 02, 18,광주광역시 동구,1,13,156.79,4,1,N,N,N,N,N,N
1, 1994, 04, 08,광주광역시 동구,1,13,125.4,4,4,N,N,N,N,N,N
1, 1996, 11, 16,광주광역시 동구,1,13,156.79,4,1,N,N,N,Y,N,N
1, 1998, 09, 29,광주광역시 동구,1,13,85.69,3,4,N,Y,Y,N,Y,Y
1, 1993, 09, 16,광주광역시 동구,1,13,156.79,10,4,N,N,N,N,N,N
1, 1993, 11, 23,광주광역시 동구,1,13,86.0,1,4,N,N,N,Y,N,N
1, 1993, 10, 09,광주광역시 동구,1,13,156.79,5,4,N,N,N,N,N,N
1, 1994, 06, 21,광주광역시 동구,1,13,129.6,10,4,N,N,N,N,N,N
1, 1996, 12, 24,광주광역시 동구,1,13,156.79,6,4,N,N,N,N,N,N
1, 1997, 07, 22,광주광역시 동구,1,13,79.0,5,1,N,N,N,Y,N,N
1, 1999, 03, 16,광주광역시 동구,1,13,130.0,4,0,N,N,N,N,N,N
1, 1999, 10, 25,광주광역시 동구,1,13,110.61,4,4,N,N,N,N,N,N
1, 1993, 03, 27,광주광역시 동구,1,13,202.0,5,4,N,N,N,N,N,N
1, 1993, 09, 14,광주광역시 동구,1,13,156.79,1,4,N,N,N,Y,N,N
1, 1993, 09, 22,광주광역시 동구,1,13,171.34,6,4,N,N,N,N,N,N
